date,Tahvil
2002-01-03,1.0020416014189837
2002-01-04,1.0040910052590197
2002-01-07,1.006154824663408
2002-01-08,1.0082278849738624
2002-01-09,1.0103115826422786
2002-01-10,1.0124170760508577
2002-01-11,1.0145142190440166
2002-01-14,1.0166154777872816
2002-01-15,1.0187181131578944
2002-01-16,1.0208312874782013
2002-01-17,1.0229513696007728
2002-01-18,1.0250740152099471
2002-01-21,1.0271916046730993
2002-01-22,1.029150051503822
2002-01-23,1.0312776844748297
2002-01-24,1.0334162159112663
2002-01-25,1.035544278701191
2002-01-28,1.0376846642958282
2002-01-29,1.0398121354746908
2002-01-30,1.0419288815355499
2002-01-31,1.0440252490035251
2002-02-01,1.0461332238640906
2002-02-04,1.0482763589728985
2002-02-05,1.0504236472523263
2002-02-06,1.0525469364335058
2002-02-07,1.0546857798560534
2002-02-08,1.0568516851678482
2002-02-11,1.05909051464135
2002-02-12,1.061257316356352
2002-02-13,1.0634085484025542
2002-02-14,1.0655692215540427
2002-02-15,1.0677925005139002
2002-02-18,1.0699727493517286
2002-02-19,1.072084750871361
2002-02-20,1.0743076616359193
2002-02-21,1.0763958618786942
2002-02-22,1.0784881210893138
2002-02-25,1.0805844471574526
2002-02-26,1.0826727663086835
2002-02-27,1.0849273603571936
2002-02-28,1.0871416113907402
2002-03-01,1.0891807805532259
2002-03-04,1.0913704764227328
2002-03-05,1.0935555824835763
2002-03-06,1.0957365364012845
2002-03-07,1.0979034368799396
2002-03-08,1.100083726002765
2002-03-11,1.102254401345412
2002-03-12,1.1044285964695344
2002-03-13,1.1066093744237622
2002-03-14,1.1087734684467074
2002-03-15,1.1109433369507111
2002-03-18,1.1131143605689648
2002-03-19,1.115285493558755
2002-03-20,1.1174328028437448
2002-03-21,1.1195928557925159
2002-03-22,1.121734568310583
2002-03-25,1.1238569077128087
2002-03-26,1.12598961613416
2002-03-27,1.128108311713046
2002-03-28,1.1302069300077586
2002-03-29,1.1323059589837192
2002-04-01,1.134408347603571
2002-04-02,1.1364853975764733
2002-04-03,1.1385866155061557
2002-04-04,1.140661215478995
2002-04-05,1.142686989261752
2002-04-08,1.144717748359962
2002-04-09,1.1467523944436846
2002-04-10,1.1488148160832605
2002-04-11,1.1507816335673022
2002-04-12,1.1527481223077793
2002-04-15,1.1547202501618645
2002-04-16,1.156705440081709
2002-04-17,1.1586974631325768
2002-04-18,1.1606337355968672
2002-04-19,1.1626141903560514
2002-04-22,1.1645839131329248
2002-04-23,1.166556973051087
2002-04-24,1.1684999694177167
2002-04-25,1.1704098414539388
2002-04-26,1.172319885204589
2002-04-29,1.1741974383988714
2002-04-30,1.176078296993345
2002-05-01,1.1779928446207488
2002-05-02,1.1799167481607693
2002-05-03,1.1818485495345832
2002-05-06,1.183811399416978
2002-05-07,1.1857721737527347
2002-05-08,1.1877385717977862
2002-05-09,1.1897257450992826
2002-05-10,1.1917517199839238
2002-05-13,1.1937725817760823
2002-05-14,1.195862423117319
2002-05-15,1.197945091776554
2002-05-16,1.2000781251785912
2002-05-17,1.2022549637145101
2002-05-20,1.2044651545051157
2002-05-21,1.2066568987366473
2002-05-22,1.2088221014901868
2002-05-23,1.2109903126529769
2002-05-24,1.21313480702771
2002-05-27,1.2152573576413666
2002-05-28,1.2173636665930567
2002-05-29,1.2195448429476976
2002-05-30,1.2217613905335665
2002-05-31,1.2240726942417273
2002-06-03,1.2264050776702753
2002-06-04,1.2286631816377855
2002-06-05,1.23091604342521
2002-06-06,1.233182747140704
2002-06-07,1.2355066369374266
2002-06-10,1.237918790865867
2002-06-11,1.2403950416489173
2002-06-12,1.2429655396619637
2002-06-13,1.2455231523542785
2002-06-14,1.2480927741689862
2002-06-17,1.2507010781512418
2002-06-18,1.2533500010696599
2002-06-19,1.255954390675184
2002-06-20,1.25846297469519
2002-06-21,1.2610819454338795
2002-06-24,1.2637340309334266
2002-06-25,1.2663936680187284
2002-06-26,1.2691340502550863
2002-06-27,1.2718703130649525
2002-06-28,1.2745877699738164
2002-07-01,1.2772776383274498
2002-07-02,1.2799851206329933
2002-07-03,1.282774842310462
2002-07-04,1.2855405147733043
2002-07-05,1.2883276934036267
2002-07-08,1.2911614694154725
2002-07-09,1.293976680028482
2002-07-10,1.2968211908407201
2002-07-11,1.2996277009265076
2002-07-12,1.3024125098955417
2002-07-15,1.3052863320680963
2002-07-16,1.3081681971553383
2002-07-17,1.310983430679228
2002-07-18,1.3137533196162696
2002-07-19,1.3165270129105302
2002-07-22,1.319336968447487
2002-07-23,1.3222017630273206
2002-07-24,1.325116951666018
2002-07-25,1.3280140199870512
2002-07-26,1.330893868308769
2002-07-29,1.3338070543833564
2002-07-30,1.3367044390672036
2002-07-31,1.3396353024783003
2002-08-01,1.3424838905661591
2002-08-02,1.3452103783581018
2002-08-05,1.3478700115404942
2002-08-06,1.3505389421682603
2002-08-07,1.3532203100619804
2002-08-08,1.3558848466186137
2002-08-09,1.35826577316579
2002-08-12,1.360984625788057
2002-08-13,1.3636898633587409
2002-08-14,1.366384460017771
2002-08-15,1.3690988595173512
2002-08-16,1.371832176552379
2002-08-19,1.3745841542153026
2002-08-20,1.377311363486638
2002-08-21,1.3800481035188212
2002-08-22,1.3827686529760694
2002-08-23,1.3855105087861057
2002-08-26,1.3882565251147523
2002-08-27,1.3910015855216755
2002-08-28,1.3937556008783247
2002-08-29,1.39652373342078
2002-08-30,1.399297363740441
2002-09-02,1.4021149968295301
2002-09-03,1.4049331764618722
2002-09-04,1.4077778608938898
2002-09-05,1.4106430354161217
2002-09-06,1.4135191659141213
